image	tree	tool	empty_sectors	dirs	app_pvd	prep_pvd	app_svd	system_id
WinXPDriverEncyclopediaCHS2001__WinXP_A.iso	primary	Roxio/Adaptec	15	14	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
WinXPDriverEncyclopediaCHS2001__WinXP_B.iso	primary	Roxio/Adaptec	29	29	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
Ys12complete__YsCollection.bin	primary	Roxio/Adaptec	6	6	EASY CD CREATOR 4.0 (140) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.0 (140) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	
britannica-2001-se__B2001SE.ISO	primary	Roxio/Adaptec	48	47	EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	TIM WYNN	EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	
britannica-2001-se__IB2001SE.ISO	primary	Roxio/Adaptec	1	1	EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	TIM WYNN	EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	
cdrom-otacd-26__OTACD26.ISO	primary	Roxio/Adaptec	34	27	EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	
chwp-10__CHwp10.iso	primary	Roxio/Adaptec	6	5	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
com_0904_1__com_0904_1.iso	primary	Roxio/Adaptec	33	29	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
com_0904_1__com_0904_2.iso	primary	Roxio/Adaptec	7	5	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
ctwz-3__CTWZ1.iso	primary	Roxio/Adaptec	20	17	EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
ctwz-3__CTWZ2.iso	primary	Roxio/Adaptec	16	16	EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
ctwz-3__CTWZ4.iso	primary	Roxio/Adaptec	25	13	EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
dell-latitude-c800-resourcecd-526pn__Dell_Latitude_C800_ResourceCD__526PN__-_Single_Track.iso	primary	Roxio/Adaptec	18	18	EASY CD CREATOR 4.2 (292) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (292) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	
disk-1_20260617_____________disk1_______.iso	primary	Roxio/Adaptec	23	12	EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	
disk-1_20260617_____________disk2___.iso	primary	Roxio/Adaptec	10	8	EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	
disk-1_20260617_____________disk3_____.iso	primary	Roxio/Adaptec	3	3	EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	
disk-3_202606_____________disk1____.iso	primary	Roxio/Adaptec	13	13	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	
disk-3_202606_____________disk3____.iso	primary	Roxio/Adaptec	19	19	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	
disk-3_202606_____________disk4____.iso	primary	Roxio/Adaptec	23	15	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	
dnbcd-collection__DNBCD20002C.iso	primary	Roxio/Adaptec	9	9	EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
dosvpr-0003__VPR0003A.BIN	primary	Roxio/Adaptec	1	1	EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
dosvpr-0007__VPR0007A.BIN	primary	Roxio/Adaptec	8	7	EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
dosvpr-0011__VPR0011A.BIN	primary	Roxio/Adaptec	3	3	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
flashAnimationCD__Flash____A.iso	primary	Roxio/Adaptec	4	3	EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
flashAnimationCD__Flash____B.iso	primary	Roxio/Adaptec	11	10	EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
flash_mx__flash_mx.iso	primary	Roxio/Adaptec	4	2	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
game-programming-starter-kit-5-disk-3__Game_Programming_Starter_Kit_5.0__USA___Disc_3_.bin	primary	Roxio/Adaptec	25	22	EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
game-programming-starter-kit-5-disk-3__Game_Programming_Starter_Kit_5.0__USA___Disc_3_.iso	primary	Roxio/Adaptec	25	22	EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
gru_20260527__GRU.iso	primary	Roxio/Adaptec	51	13	EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
hpcw-cd-11__HPCW_CD11.iso	primary	Roxio/Adaptec	1	1	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
human_dxyswin2k_202511_______Win2000.iso	primary	Roxio/Adaptec	1	1	EASY CD CREATOR 4.0 (140) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.0 (140) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
hunmin-xp__HunminXP.iso	primary	Roxio/Adaptec	1	1	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
itsoftcd-36__ITSOFTCD_36.iso	primary	Roxio/Adaptec	1	1	EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
jjang-gu__JJANG_GU.iso	primary	Roxio/Adaptec	3	2	EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
ktpd-c__KTPD_B.iso	primary	Roxio/Adaptec	29	9	EASY CD CREATOR 4.0 (140) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.0 (140) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
ktpd-c__KTPD_C.iso	primary	Roxio/Adaptec	43	7	EASY CD CREATOR 4.0 (140) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.0 (140) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
laoguangpan.set.16__16_______854318908________2020_2__2020-02-24____FLASH_6.iso	primary	Roxio/Adaptec	101	7	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
laoguangpan.set.8__8_______854318908________2019_8__2019-8-31_Infinity_________KTPD__KTPD_5.iso	primary	Roxio/Adaptec	1	1	EASY CD CREATOR 4.0 (140) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.0 (140) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
lego-island-thai__LEGO_ISLAND1.bin	primary	Roxio/Adaptec	4	4	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
lego-island-thai__LEGO_ISLAND1.img	primary	Roxio/Adaptec	4	4	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
lg-ibm-tp-x-21__LG-IBM_TP-X21.iso	primary	Roxio/Adaptec	17	13	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
midicollection3__MidiCollection3.bin	primary	Roxio/Adaptec	101	61	EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
midicollection3__MidiCollection3.iso	primary	Roxio/Adaptec	101	61	EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
namo-web-editor-fx__NamoWebEditorFX.iso	primary	Roxio/Adaptec	1	1	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
nancy-drew-message-in-a-haunted-mansion_202203__Nancy_Drew_Message_In_A_Haunted_Mansion.iso	primary	Roxio/Adaptec	18	2	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
ppk-cd-07-2003__PPK_CD_07_2003.iso	primary	Roxio/Adaptec	35	33	EASY CD CREATOR 4.2 (310) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (310) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
ppk-cd-18-2002__PPK_CD_18_2002.iso	primary	Roxio/Adaptec	10	7	EASY CD CREATOR 4.2 (310) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (310) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
pro-publishing-suite__Pro_Publishing_Suite.iso	primary	Roxio/Adaptec	58	15	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
solidworks-2001__SolidworksDisc2.iso	primary	Roxio/Adaptec	1	1	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	
star-wars-kor-1__STAR_WARS_KOR_1.bin	primary	Roxio/Adaptec	1	1	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
star-wars-kor-1__STAR_WARS_KOR_2.img	primary	Roxio/Adaptec	6	2	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
twilight-cd56__TWILIGHT_056_CD2.iso	primary	Roxio/Adaptec	1	1	EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
twilight-cd58__TWILIGHT_058_CD1.iso	primary	Roxio/Adaptec	1	1	EASY CD CREATOR 4.2 (292) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (292) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	
wswy-a__WSWY_A.iso	primary	Roxio/Adaptec	4	3	EASY CD CREATOR 4.0 (140) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.0 (140) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
wswy-a__WSWY_C.iso	primary	Roxio/Adaptec	5	5	EASY CD CREATOR 4.0 (140) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.0 (140) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
wswy-a__WSWY_F.iso	primary	Roxio/Adaptec	19	18	EASY CD CREATOR 4.0 (140) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.0 (140) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
zero-8__Zero_1.iso	primary	Roxio/Adaptec	14	14	EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	
zero-8__Zero_8.iso	primary	Roxio/Adaptec	1	1	EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	
1996SoftwaresCHS__96_____SOFTWARE_CLASSIC_2.iso	primary	other	7	5		RCD-PC PINNACLE MICRO INC.		MS-DOS
build-mm-pc__BUILD_MM_PC.ISO	primary	other	1	1	BUILD YOUR OWN MULTIMEDIA PC	CD/WORKS (617) 482-2759		
dngzsr2008ChineseWarezCD__dngzsr2008.iso	primary	other	1	1		RCD-PC PINNACLE MICRO INC.		
japanese-mega-learning-pack__Japanese_Mega_Learning_Pack_02.Audio_Courses__Textbooks_Japanese_The_Spoken_Language__prog__JTSL02.bin	primary	other	1	1		ELEKTROSON		GEAR DVD/CD-R PREMASTERING
mung-tiec-sinh-nhat-henry-le-lisa-le-tai-nha-hang-tau-ben-nghe__HENRY_LISA_SBirthday08.iso	primary	other	29	1	DVDSANTA			
nobitas-biohazard__Nobita_s_Biohazard.iso	primary	other	118	28	FOLDER2ISO 1.5			
CHSShareware__________98-7-1.iso	joliet	unknown	9	6				
CHSShareware__________98-7-1.iso	primary	unknown	8	6				
HONHGameKorea__2023-07-21-111550.iso	primary	unknown	1	1				
cyber-link_202407__CyberLink.iso	joliet	unknown	1	1				
cyber-link_202407__CyberLink.iso	primary	unknown	1	1				
kemurikusa0__kemurikusa.iso	primary	unknown	1	1				
ps3kr__Killer_Is_Dead_K_.iso	joliet	unknown	5	2				
ps3kr__Killer_Is_Dead_K_.iso	primary	unknown	4	2				
ytc-204__YTC204.iso	primary	unknown	1	1				
ytc-221-222__YTC_221_2.iso	primary	unknown	1	1				
ytc-233-1__YTC_233_1.iso	primary	unknown	1	1				
ytc-340__YTC_340.iso	primary	unknown	1	1				
