image	tool	kind	units	utf8	script	dir	name
RealHistory__Real_History.iso	other	f	101	101	none	/Real History	Vandana Shiva - Real Wealth-Real Poverty--How Economic Globalization is Robbing the Poor of Wealt.mp3
RealHistory__Real_History.iso	other	f	86	86	none	/Real History/TUC Radio Downloads	A Challenge to Humanity - The Situation in Palestine - Dr. Mustafa Barghouti 01-02.mp3
RealHistory__Real_History.iso	other	f	86	86	none	/Real History/TUC Radio Downloads	A Challenge to Humanity - The Situation in Palestine - Dr. Mustafa Barghouti 02-02.mp3
RealHistory__Real_History.iso	other	f	87	87	none	/Real History/TUC Radio Downloads	Michael Parenti - Government by Giveaway and Good Things are Happening in Venezuela.mp3
RealHistory__Real_History.iso	other	f	93	93	none	/Real History/TUC Radio Downloads	Michael Parenti - How the Free Market Killed New Orleans and Right Wing Judicial Activism.mp3
RealHistory__Real_History.iso	other	f	86	86	none	/Real History/TUC Radio Downloads	Michael Parenti - The JFK Assassination and the Gangster Nature of the State 01-02.mp3
RealHistory__Real_History.iso	other	f	86	86	none	/Real History/TUC Radio Downloads	Michael Parenti - The JFK Assassination and the Gangster Nature of the State 02-02.mp3
RealHistory__Real_History.iso	other	f	88	88	none	/Real History/TUC Radio Downloads	Virtual Reality and Virtual Trade, TV and E-Commerce - Jerry Mander & Sarah Anderson.mp3
RealHistory__Real_History.iso	other	f	90	90	none	/Real History/John Taylor Gatto - author Underground History of American Education	John Taylor Gatto - An Examination of the Pathological Methodology of Forced Schooling.WMA
RealHistory__Real_History.iso	other	f	101	101	none	/Real History/John Taylor Gatto - author Underground History of American Education	John Taylor Gatto - The Guerrilla Curriculum - 1 of 2 (Growing without Schooling Confernece, 1997.wma
RealHistory__Real_History.iso	other	f	101	101	none	/Real History/John Taylor Gatto - author Underground History of American Education	John Taylor Gatto - The Guerrilla Curriculum - 2 of 2 (Growing without Schooling Confernece, 1997.wma
RealHistory__Real_History.iso	other	f	94	94	none	/Real History/John Taylor Gatto - author Underground History of American Education	John Taylor Gatto - The Hidden Curriculum of Compulsary Institutionalized Schooling (1998).wma
RealHistory__Real_History.iso	other	f	94	94	none	/Real History/John Taylor Gatto - author Underground History of American Education	John Taylor Gatto - The Paradox of Extended Childhood (Institutionalized Education) (2000).wma
RealHistory__Real_History.iso	other	f	91	91	none	/Real History/John Taylor Gatto - author Underground History of American Education	John Taylor Gatto - The Scientific Management of Children (anti-forced state schooling).WMA
RealHistory__Real_History.iso	other	f	93	93	none	/Real History/John Taylor Gatto - author Underground History of American Education	John Taylor Gatto - What is an Education (the BUSINESS of Schooling and Public Education).wma
RealHistory__Real_History.iso	other	f	101	101	none	/Real History/John Taylor Gatto - author Underground History of American Education	Unwelcome Guests 140 - John Taylor Gatto, Colman McCarthy - Teaching & Learning Things That Matte.mp3
VariousChineseWindowsBootlegsPart2__Ghost_XP__Windows.XP.SP2.__GHOST___3.0____.AngelXP_GHOST.iso	unknown	d	92	92	none	/I386/WinSxS	x86_microsoft.tools.visualcplusplus.runtime-libraries_6595b64144ccf1df_6.0.0.0_x-ww_ff9986d7
VariousChineseWindowsBootlegsPart2__Ghost_XP__Windows.XP.SP2.__GHOST___3.0____.AngelXP_GHOST.iso	unknown	d	90	90	none	/I386/WinSxS	x86_microsoft.windows.isolationautomation.proxystub_6595b64144ccf1df_1.0.0.0_x-ww_7cfac880
VariousChineseWindowsBootlegsPart2__Ghost_XP__Windows.XP.SP2.__GHOST___3.0____.AngelXP_GHOST.iso	unknown	f	96	96	none	/I386/WinSxS/manifests	x86_microsoft.tools.visualcplusplus.runtime-libraries_6595b64144ccf1df_6.0.0.0_x-ww_ff9986d7.cat
VariousChineseWindowsBootlegsPart2__Ghost_XP__Windows.XP.SP2.__GHOST___3.0____.AngelXP_GHOST.iso	unknown	f	96	96	none	/I386/WinSxS/manifests	x86_microsoft.tools.visualcplusplus.runtime-libraries_6595b64144ccf1df_6.0.0.0_x-ww_ff9986d7.man
VariousChineseWindowsBootlegsPart2__Ghost_XP__Windows.XP.SP2.__GHOST___3.0____.AngelXP_GHOST.iso	unknown	f	86	86	none	/I386/WinSxS/manifests	x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.0.0_x-ww_8a69ba05.manifest
VariousChineseWindowsBootlegsPart2__Ghost_XP__Windows.XP.SP2.__GHOST___3.0____.AngelXP_GHOST.iso	unknown	f	87	87	none	/I386/WinSxS/manifests	x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.100.0_x-ww_8417450b.manifest
VariousChineseWindowsBootlegsPart2__Ghost_XP__Windows.XP.SP2.__GHOST___3.0____.AngelXP_GHOST.iso	unknown	f	86	86	none	/I386/WinSxS/manifests	x86_microsoft.windows.cplusplusruntime_6595b64144ccf1df_7.0.0.0_x-ww_2726e76a.manifest
VariousChineseWindowsBootlegsPart2__Ghost_XP__Windows.XP.SP2.__GHOST___3.0____.AngelXP_GHOST.iso	unknown	f	88	88	none	/I386/WinSxS/manifests	x86_microsoft.windows.cplusplusruntime_6595b64144ccf1df_7.0.100.0_x-ww_94aa24eb.manifest
VariousChineseWindowsBootlegsPart2__Ghost_XP__Windows.XP.SP2.__GHOST___3.0____.AngelXP_GHOST.iso	unknown	f	94	94	none	/I386/WinSxS/manifests	x86_microsoft.windows.isolationautomation.proxystub_6595b64144ccf1df_1.0.0.0_x-ww_7cfac880.cat
VariousChineseWindowsBootlegsPart2__Ghost_XP__Windows.XP.SP2.__GHOST___3.0____.AngelXP_GHOST.iso	unknown	f	99	99	none	/I386/WinSxS/manifests	x86_microsoft.windows.isolationautomation.proxystub_6595b64144ccf1df_1.0.0.0_x-ww_7cfac880.manifest
VariousChineseWindowsBootlegsPart2__Ghost_XP__Windows.XP.SP2.__GHOST___3.0____.AngelXP_GHOST.iso	unknown	f	89	89	none	/I386/WinSxS/manifests	x86_microsoft.windows.isolationautomation_6595b64144ccf1df_1.0.0.0_x-ww_fd9da872.manifest
VariousChineseWindowsBootlegsPart2__Ghost_XP__Windows.XP.SP2.__GHOST___3.0____.AngelXP_GHOST.iso	unknown	f	86	86	none	/I386/WinSxS/manifests	x86_microsoft.windows.systemcompatible_6595b64144ccf1df_5.1.0.0_x-ww_fc342b0b.manifest
VariousChineseWindowsBootlegsPart2__Ghost_XP__Windows.XP.SP2.__GHOST___3.0____.AngelXP_GHOST.iso	unknown	f	86	86	none	/I386/WinSxS/manifests	x86_microsoft.windows.systemcompatible_6595b64144ccf1df_5.2.0.0_x-ww_40208a0c.manifest
WINVISTA_SP2_AIO_X64_UPDATEDAPRIL2023_ESD_ZH-CN__6.0.6003.22015.vistasp2_ldr_escrow.230327-1945_amd64fre_client-homebasic-homepremium-business-ultimate_retail_zh-cn-INSTALL_ESD.iso	PowerISO	f	110	110	none		6003.22015.230327-1945.vistasp2_ldr_escrow_clientcombinedchina_amd64fre_zh-cn_e3968aeddfdf4ff01e0fd1ffac~0.esd
WinFLPENTHAMUI__WinFLP_THA.iso	PowerISO	d	92	92	none	/I386/WinSxS	x86_microsoft.tools.visualcplusplus.runtime-libraries_6595b64144ccf1df_6.0.0.0_x-ww_ff9986d7
WinFLPENTHAMUI__WinFLP_THA.iso	PowerISO	d	96	96	none	/I386/WinSxS	x86_microsoft.windows.isolationautomation.proxystub_6595b64144ccf1df_1.0.3790.1830_x-ww_148995c5
WinFLPENTHAMUI__WinFLP_THA.iso	PowerISO	d	86	86	none	/I386/WinSxS	x86_microsoft.windows.isolationautomation_6595b64144ccf1df_1.0.3790.1830_x-ww_952c75b7
WinFLPENTHAMUI__WinFLP_THA.iso	PowerISO	d	93	93	none	/I386/WinSxS/setuppolicies	x86_policy.1.0.microsoft.windows.isolationautomation.proxystub_6595b64144ccf1df_x-ww_b9986d7f
WinFLPENTHAMUI__WinFLP_THA.iso	PowerISO	f	96	96	none	/I386/WinSxS/manifests	x86_microsoft.tools.visualcplusplus.runtime-libraries_6595b64144ccf1df_6.0.0.0_x-ww_ff9986d7.cat
WinFLPENTHAMUI__WinFLP_THA.iso	PowerISO	f	101	101	none	/I386/WinSxS/manifests	x86_microsoft.tools.visualcplusplus.runtime-libraries_6595b64144ccf1df_6.0.0.0_x-ww_ff9986d7.manifest
WinFLPENTHAMUI__WinFLP_THA.iso	PowerISO	f	87	87	none	/I386/WinSxS/manifests	x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.3790.1830_x-ww_1b6f474a.cat
WinFLPENTHAMUI__WinFLP_THA.iso	PowerISO	f	92	92	none	/I386/WinSxS/manifests	x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.3790.1830_x-ww_1b6f474a.manifest
WinFLPENTHAMUI__WinFLP_THA.iso	PowerISO	f	86	86	none	/I386/WinSxS/manifests	x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.3790.1830_x-ww_7ae38ccf.cat
WinFLPENTHAMUI__WinFLP_THA.iso	PowerISO	f	91	91	none	/I386/WinSxS/manifests	x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.3790.1830_x-ww_7ae38ccf.manifest
WinFLPENTHAMUI__WinFLP_THA.iso	PowerISO	f	87	87	none	/I386/WinSxS/manifests	x86_microsoft.windows.cplusplusruntime_6595b64144ccf1df_7.0.3790.1830_x-ww_84e4cbaf.cat
WinFLPENTHAMUI__WinFLP_THA.iso	PowerISO	f	92	92	none	/I386/WinSxS/manifests	x86_microsoft.windows.cplusplusruntime_6595b64144ccf1df_7.0.3790.1830_x-ww_84e4cbaf.manifest
WinFLPENTHAMUI__WinFLP_THA.iso	PowerISO	f	100	100	none	/I386/WinSxS/manifests	x86_microsoft.windows.isolationautomation.proxystub_6595b64144ccf1df_1.0.3790.1830_x-ww_148995c5.cat
WinFLPENTHAMUI__WinFLP_THA.iso	PowerISO	f	105	105	none	/I386/WinSxS/manifests	x86_microsoft.windows.isolationautomation.proxystub_6595b64144ccf1df_1.0.3790.1830_x-ww_148995c5.manifest
WinFLPENTHAMUI__WinFLP_THA.iso	PowerISO	f	90	90	none	/I386/WinSxS/manifests	x86_microsoft.windows.isolationautomation_6595b64144ccf1df_1.0.3790.1830_x-ww_952c75b7.cat
WinFLPENTHAMUI__WinFLP_THA.iso	PowerISO	f	95	95	none	/I386/WinSxS/manifests	x86_microsoft.windows.isolationautomation_6595b64144ccf1df_1.0.3790.1830_x-ww_952c75b7.manifest
WinFLPENTHAMUI__WinFLP_THA.iso	PowerISO	f	90	90	none	/I386/WinSxS/manifests	x86_microsoft.windows.networking.dxmrtp_6595b64144ccf1df_5.2.2.1830_x-ww_c1f0cd1a.manifest
WinFLPENTHAMUI__WinFLP_THA.iso	PowerISO	f	90	90	none	/I386/WinSxS/manifests	x86_microsoft.windows.networking.rtcdll_6595b64144ccf1df_5.2.2.1830_x-ww_5229f208.manifest
WinFLPENTHAMUI__WinFLP_THA.iso	PowerISO	f	88	88	none	/I386/WinSxS/manifests	x86_microsoft.windows.networking.rtcres_6595b64144ccf1df_5.2.2.1830_en_920eb233.manifest
WinFLPENTHAMUI__WinFLP_THA.iso	PowerISO	f	87	87	none	/I386/WinSxS/manifests	x86_microsoft.windows.systemcompatible_6595b64144ccf1df_5.2.3790.1830_x-ww_f67cee51.cat
WinFLPENTHAMUI__WinFLP_THA.iso	PowerISO	f	92	92	none	/I386/WinSxS/manifests	x86_microsoft.windows.systemcompatible_6595b64144ccf1df_5.2.3790.1830_x-ww_f67cee51.manifest
appz-2004-07__APPZ_200407.iso	Nero	d	88	88	none		PowerDVD.v5.0.1130.Deluxe.Multilingual.Dolby.Digital.EX.Cracked.Repack.WinAll-BetaMaster
avinash-vyash-albums__Avinash_Vyash_Albums.iso	PowerISO	f	101	101	none	/Unforgettable - Avinash Vyas (1992)	He Ranglo Jamyo Kalindi Ne Ghat   Purushottam Upadhyay   Unforgettable Avinash Vyas Gujrati Songs.mp3
avinash-vyash-albums__Avinash_Vyash_Albums.iso	PowerISO	f	95	95	none	/Dine with Avinash Vyas Top Hits (2019)	Bhader Tara Vaheta Pani   O Rang Rasiya   Gujarati Song   Mahendra Kapoor & Suman Kalyanpur.mp3
avinash-vyash-albums__Avinash_Vyash_Albums.iso	PowerISO	f	97	97	none	/Dine with Avinash Vyas Top Hits (2019)	Bhader Tara Vaheta Pani   Sona Vatkdi Re   Gujarati Song   Diwaliben Bhil & Lakhabhai Gadhavi.mp3
avinash-vyash-albums__Avinash_Vyash_Albums.iso	PowerISO	f	92	92	none	/Dine with Avinash Vyas Top Hits (2019)	Pani Gyata Re Ame Talavna Re   Gujarati Movie- Bhader Tara Vaheta Pani   Suman Kalyanpur.mp3
avinash-vyash-albums__Avinash_Vyash_Albums.iso	PowerISO	f	96	96	none	/Avinash Vyas- The Legend (2017)	Har Har Gauri Sange   Avinash Vyas feat. Suresh Wadkar and Sadhana Sargam   Red Ribbon Music.mp3
avinash-vyash-albums__Avinash_Vyash_Albums.iso	PowerISO	f	100	100	none	/Avinash Vyas- The Legend (2017)	Nindiya Rani   Gujarati Halarda (Lullaby) Song   Animated song   Lalitya Munshaw   RedRibbonKids.mp3
avinash-vyash-albums__Avinash_Vyash_Albums.iso	PowerISO	f	96	96	none	/Avinash Vyas Birthday Special (2019)	Har Har Gauri Sange   Avinash Vyas feat. Suresh Wadkar and Sadhana Sargam   Red Ribbon Music.mp3
avinash-vyash-albums__Avinash_Vyash_Albums.iso	PowerISO	f	100	100	none	/Avinash Vyas Birthday Special (2019)	Nindiya Rani   Gujarati Halarda (Lullaby) Song   Animated song   Lalitya Munshaw   RedRibbonKids.mp3
com-2013.08__com__2013.08.iso	Nero	f	88	86	none	/computer/Windows_Performance_Recorder/sdk/Patches/8.59.29750	Windows Software Development Kit for Metro style Apps DirectX x64 Remote-x64_en-us.msp;1
com-2013.08__com__2013.08.iso	Nero	f	88	86	none	/computer/Windows_Performance_Recorder/sdk/Patches/8.59.29750	Windows Software Development Kit for Metro style Apps DirectX x86 Remote-x86_en-us.msp;1
com-2013.08__com__2013.08.iso	Nero	f	88	86	none	/computer/Windows_Performance_Recorder/sdk/Installers	Windows Software Development Kit for Metro style Apps DirectX ARM Remote-arm_en-us.msi;1
com-2013.08__com__2013.08.iso	Nero	f	88	86	none	/computer/Windows_Performance_Recorder/sdk/Installers	Windows Software Development Kit for Metro style Apps DirectX x64 Remote-x64_en-us.msi;1
com-2013.08__com__2013.08.iso	Nero	f	88	86	none	/computer/Windows_Performance_Recorder/sdk/Installers	Windows Software Development Kit for Metro style Apps DirectX x86 Remote-x86_en-us.msi;1
deewadiben-bhil-albums__Deewadiben_Bhil_Albums.iso	PowerISO	f	96	96	none	/Gujaratnun Loksangeet (1981)	Varse Varse Ashadhi Kero Megh   Gujaratnun Loksangeet Folk Music Of Gujarat   Diwaliben Bhil.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	88	88	none	/Kashino Dikaro (1978)	Kashino Dikaro   Zina Zina Re Ankethi   Gujarati Song   Kaumudi Munshi & Vibha Desai.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	90	90	none	/Jog Sanjog (1980)	Jog-Sanjog   Hun Jamnagar Man Janmelo   Gujarati Song   Mahesh Kumar & Kamlesh Avasthi.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	94	132	Gujarati	/Jay Ranchhod (1975)	Khamma Mara Nandajinalal with lyrics   ખમ્મા મારા નંદજીનાલાલ   Asha Bhosle, Sulochana Vyas.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	93	93	none	/Jay Radal Maa (1977)	Jai Randal Maa   Anand Anand Karun Aarti   Gujarati Song   Harshada Rawal & Anand Kumar C.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	103	103	none	/Jay Radal Maa (1977)	Jai Randal Maa   He Kanude Kavaravya Gokuliyaman   Gujarati Song  Mahendra Kapoor & Usha Mangeshkar.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	90	90	none	/Jay Radal Maa (1977)	Jai Randal Maa   Jai Jai Mari Randal Ma   Gujarati Song   Harshada Rawal & Praful Dave.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	90	90	none	/Jay Khodiyar Maa (1976)	Jai Khodiar Ma   Aarti Utaro Maani   Gujarati Song   Usha Mangeshkar & Mahendra Kapoor.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	88	88	none	/Jay Khodiyar Maa (1976)	Jai Khodiar Ma   Natvar Nano Re   Gujarati Song   Usha Mangeshkar & Veljibhai Gajjar.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	98	98	none	/Janam Janam Na Saathi (1976)	Janam Janam Na Saathi   Aavo Gori Nadine Kinare   Gujarati Song   Mohd. Rafi & Usha Mangeshkar.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	94	94	none	/Janam Janam Na Saathi (1976)	Janam Janam Na Saathi   Title Song [Sad Version]   Gujarati Song   Bappi Lahiri & Anuradha.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	87	87	none	/Jaishri Yamuna Maharani	Jaishri Yamuna Maharani   Yamunashtak - [Part II]   Gujarati Song   Lata Mangeshkar.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	86	86	none	/Jagya Tyarthi Sawar (1982)	Jagya Tyarthi Sawar   Majhi O Savdhani   Gujarati Song   Anuradha & Naresh Kanodia.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	94	94	none	/Harish Chamdra Taramati (1974)	Harish Chandra Taramati   Hun To Bulbul Chhoon Banaras Gamni   Gujarati Song   Asha Bhosle.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	90	90	none	/Harish Chamdra Taramati (1974)	Harish Chandra Taramati   Madi Re Tane Ganga Ochhi Padse   Gujarati Song   Asha Bhosle.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	89	89	none	/Harish Chamdra Taramati (1974)	Harish Chandra Taramati   Pakdam Pakdi Pakdam Pakdi   Gujarati Song   Mahendra Kapoor.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	91	91	none	/Harish Chamdra Taramati (1974)	Harish Chandra Taramati   Tame Jo Jo Na Vayda Vitavjo   Gujarati Song   Mahendra Kapoor.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	92	92	none	/Halaman Jethvo (1977)	Halaman Jethwo   Ek Joie Juwandi Lakhman   Gujarati Song   Asha Bhosle & Mahendra Kapoor.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	86	86	none	/Halaman Jethvo (1977)	Halaman Jethwo   Mune Ekli Meline   Gujarati Song   Asha Bhosle & Veljibhai Gajjar.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	100	100	none	/Dukhada Khame Ee Dikri (1981)	He Sambhlile Mara   Gujarati Movie Song- Dukhada Khame Ee Deekare   Mahesh Kanodia & Priti Sagar.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	92	92	none	/Dukhada Khame Ee Dikri (1981)	Kone Jaie Karvi   Gujarati Movie Song- Dukhada Khame Ee Deekare   Anuradha & Praful Dave.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	107	107	none	/Dukhada Khame Ee Dikri (1981)	Tame Kiya Nagar Na Vasire   Gujarati Movie Song- Dukhada Khame Ee Deekare   Anuradha  u0026 Praful Dave.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	94	94	none	/Dholi (1982)	Dholi   Dholida Dhol Na Vagad   Gujarati Movie Song   Mahendra Kapoor & Karsandas Sagathia.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	110	110	none	/Dhola Maru (1983)/Cover	tnuor-676Z9F7DY47-Full-Image_GalleryCover-en-US-1580117804852._UY500_UX667_RI_V3uIq8ZT4FbMDRbOZ3VvZz3vXz~0.jpg
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	110	110	none	/Desh Re Joya Dada Pardesh Joya (1997)	Desh Re Joya Dada Pardesh Joya (1997) - Arvind Barot - Listen to Desh Re Joya Dada Pardesh Joya songs_mu~0.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	110	110	none	/Desh Re Joya Dada Pardesh Joya (1997)	Desh Re Joya Dada Pardesh Joya (1997) - Arvind Barot - Listen to Desh Re Joya Dada Pardesh Joya songs_mu~1.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	110	110	none	/Desh Re Joya Dada Pardesh Joya (1997)	Desh Re Joya Dada Pardesh Joya (1997) - Arvind Barot - Listen to Desh Re Joya Dada Pardesh Joya songs_mu~2.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	110	110	none	/Desh Re Joya Dada Pardesh Joya (1997)	Desh Re Joya Dada Pardesh Joya (1997) - Arvind Barot - Listen to Desh Re Joya Dada Pardesh Joya songs_mu~3.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	110	110	none	/Desh Re Joya Dada Pardesh Joya (1997)	Desh Re Joya Dada Pardesh Joya (1997) - Arvind Barot - Listen to Desh Re Joya Dada Pardesh Joya songs_mu~4.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	110	110	none	/Desh Re Joya Dada Pardesh Joya (1997)	Desh Re Joya Dada Pardesh Joya (1997) - Arvind Barot - Listen to Desh Re Joya Dada Pardesh Joya songs_mu~5.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	110	110	none	/Desh Re Joya Dada Pardesh Joya (1997)	Desh Re Joya Dada Pardesh Joya (1997) - Arvind Barot - Listen to Desh Re Joya Dada Pardesh Joya songs_mu~6.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	110	110	none	/Desh Re Joya Dada Pardesh Joya (1997)	Desh Re Joya Dada Pardesh Joya (1997) - Arvind Barot - Listen to Desh Re Joya Dada Pardesh Joya songs_mu~7.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	88	88	none	/Daku Rani Ganga (1975)	Daaku Rani Ganga   He Pavan Vasanti Vato   Gujarati song   Anandkumar C. & Manna Dey.mp3
gujarati-movie-song-vol-01-a-to-k__Gujarati_Movie_Song_Vol-01__A_to_K_.iso	PowerISO	f	87	87	none	/Daku Rani Ganga (1975)	Daku Rani Ganga   Bole Milan No Mor   Gujarati song   Asha Bhosle & Dilip Dholakiya.mp3
